time_s,target_q1,actual_q1,actual_qd1,actual_tau1,target_q2,actual_q2,actual_qd2,actual_tau2,target_q3,actual_q3,actual_qd3,actual_tau3
0.0,0.16105442180942275,0.16106004256151876,-0.010467983782362437,-0.4528454726155425,0.525123584315881,0.5251040161088919,0.024983545871489456,0.5774873594101743,0.6674304571895868,0.6674123361015553,0.017690378360993395,0.21917522579768822
0.01,0.16705387390466395,0.16121632309135522,0.014596527850015733,1.208665766482919,0.5296048700950713,0.525240518781991,0.003897800511089591,0.709591738211088,0.6707056725036407,0.6676253954760796,0.0581233562906895,0.295569498387985
0.02,0.17301277588786165,0.16162315939889055,0.04892008426152784,2.0246497554554774,0.5340483832878864,0.5255357132769425,0.03783708671066443,1.1448854778902549,0.6738448339632896,0.6677994445805233,0.01675087023745278,0.39092327544548655
0.03,0.17893032540390194,0.16243302616326394,0.09785128340494889,2.301348716997327,0.5384530485393573,0.5261589524561529,0.07085993970743479,1.2488649349804288,0.6768485000217908,0.6682010318431544,0.043769565628837354,0.4109379037049692
0.04,0.18480573026702196,0.1636961773169923,0.1406787797147903,2.3523559112407013,0.5428177975263666,0.5271319769391821,0.10012945670513482,1.2450270374453758,0.6797172761230252,0.6688359599365438,0.06362610793345436,0.4056769158226462
0.05,0.19063820863939474,0.16540276780003121,0.18408517735199903,2.2913689459318896,0.5471415692766539,0.528437170010464,0.1383588953505573,1.1957475442011847,0.682451814353305,0.6696758941757618,0.08205944853557137,0.3845734271478067
0.06,0.19642698920716273,0.16750661675348869,0.2223851075448024,2.28740787655529,0.5514233104857447,0.5300511314427208,0.16405219110057773,1.1321918820587018,0.6850528130747728,0.6706926046271968,0.10290112753247142,0.37991890607646966
0.07,0.20217131135387598,0.16998847879476572,0.2589883803268865,2.138159552649615,0.5556619758317017,0.5319262011489561,0.19380822096877304,1.1076192555476712,0.6875210165405494,0.6718521644789676,0.11833823267092275,0.37773832260963663
0.08,0.20787042533129332,0.1728072673012026,0.29192126297192694,2.0402546443672134,0.5598565282876071,0.5340443386458515,0.2171535295094978,1.0377615731860206,0.6898572144917905,0.6731316281178307,0.12691099305504347,0.3766767361350992
0.09,0.21352359242750454,0.1759223222671397,0.3247806471907445,1.961074524084819,0.564005939431673,0.5363755310418565,0.23323174816961337,0.9980558283178421,0.6920622417368197,0.6745063628007316,0.13558116103129914,0.368831882496327
0.1,0.2191300851323321,0.17929805550019046,0.34568444670070503,1.901512286687202,0.5681091897548904,0.5388928197531035,0.2548383484067497,0.9482158339651746,0.6941369777125168,0.6759540981589601,0.14450288770753145,0.353503253786378
0.11,0.22468918729997292,0.1829027622813946,0.36695160191619336,1.8027758164861418,0.5721652689661183,0.5415721602401002,0.2645274150268126,0.9215829160116329,0.6960823460281402,0.6774549197534837,0.1516884977366013,0.36479434242401215
0.12,0.23020019430883967,0.1867080738495925,0.3841941232720143,1.7477454245821333,0.5761731762945197,0.5443919433401825,0.28448131685289973,0.8740956532209646,0.6978993139917777,0.6789909887495486,0.14771544956252894,0.34081860502704353
0.13,0.23566241321856296,0.19068848990273873,0.40167403352330183,1.6995487362514823,0.5801319207892524,0.5473327120624052,0.292293228280013,0.8607016978095454,0.6995888921196204,0.6805463320480268,0.1546669341880778,0.35064839466489767
0.14,0.24107516292411627,0.1948211402077669,0.41616649347723267,1.635805239793548,0.5840405216163205,0.5503768927772491,0.30389921105659157,0.829693873038228,0.7011521336282642,0.6821066438439833,0.1517726517215157,0.34308066472844523
0.15,0.24643777430702535,0.19908536588353418,0.42779840020567556,1.5991728603271436,0.5878980083524967,0.5535087091382507,0.31104772391447116,0.8128647977799361,0.7025901339102497,0.6836591507663442,0.1540257418257429,0.3413085396459564
0.16,0.2517495903836262,0.20346254379524398,0.44049804613077576,1.5626318560766994,0.5917034212762241,0.5567138240677266,0.318568277106905,0.7844423290973492,0.7039040299930597,0.685192432749533,0.14852925874826353,0.3395600281115301
0.17,0.2570099664503345,0.20793588099716748,0.44772438600543535,1.5252747641834934,0.5954558116554068,0.5599793536660852,0.3291154643002444,0.7509452270933227,0.7050949999817953,0.6866963134741955,0.15144563090528665,0.3314333401744762
0.18,0.26221827022589167,0.2124902645135629,0.44910029673396024,1.4807683142089447,0.5991542420320037,0.5632935762137435,0.328528952104358,0.7431145773812471,0.706164262485764,0.6881617213794058,0.14621998336822895,0.33019677344543835
0.19,0.2673738819905527,0.21711203950203578,0.46091718953593375,1.4703591502592381,0.6027977865033333,0.5666459243336818,0.33097120265047986,0.7266885407343183,0.7071130760292184,0.6895806113277261,0.139251468110366,0.3412344979331887
0.2,0.2724761947221821,0.22178897144716744,0.4674472197242298,1.411054100401393,0.6063855310000075,0.5700267689402506,0.33216541876346756,0.719657466137477,0.7079427384464834,0.6909458331663295,0.1369072369704865,0.3320739481832724
0.21,0.2775246142292238,0.22650993481000994,0.4702246714959369,1.4091552052836327,0.6099165735604044,0.5734274625959366,0.3343264500615525,0.7190791691905642,0.7086545862617305,0.6922510945534984,0.13091950669621377,0.33749341683194567
0.22,0.2825185592805147,0.23126485163669633,0.4702724356703099,1.3775924369747674,0.6133900246015995,0.5768401162260386,0.33606518489863696,0.697790750090704,0.7092499940536459,0.6934908404005727,0.12113531546597922,0.33747000999514976
0.23,0.2874574617319075,0.23604465979979192,0.47980770892380536,1.3590548769245068,0.6168050071866681,0.5802575410805492,0.33609628802561253,0.6813736804164263,0.7097303738052632,0.6946601923986749,0.1111089850756845,0.31708643451058854
0.24,0.29234076664967434,0.24081048517894788,0.4713871080457769,1.545582343835688,0.6201606572882787,0.5836889141082251,0.3378926684363358,0.5946992840056703,0.7100971742392225,0.6957593141766228,0.11040238989427048,0.31967048679545446
0.25,0.2971679324306603,0.24559707368229017,0.48107273207673396,1.3885238779984261,0.6234561240484968,0.5870854792271452,0.3381706515069283,0.6982279932638441,0.7103518801387346,0.6967729062794386,0.10061607203951096,0.3323974926195395
0.26,0.3019384309191571,0.25038866923023706,0.47326325430242977,1.464506828890747,0.6266905700347155,0.5904834043425718,0.33808325509415565,0.5984235345456712,0.7104960116545259,0.6977080881300106,0.09233417359233732,0.3296000483918418
0.27,0.30665174752046936,0.2551849906628271,0.475414618840012,1.3282039996701687,0.6298631714916383,0.5938529732172161,0.33152564688928027,0.6818037657175957,0.710531123598053,0.6985569554406291,0.08172749873979014,0.3261324709111138
0.28,0.31130738131114577,0.2599826551068661,0.4753453016752282,1.2869572384997718,0.6329731185892331,0.5972042193287668,0.3299322242819887,0.6777728321084969,0.7104588047212764,0.6993199385683027,0.07740617500493432,0.32435655899702137
